stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000255030	9606.ENSP00000384906	CRP	SAA1	9606	0.736	0.0	0	0	0.097	0.0	0.0	0.72
9606.ENSP00000255030	9606.ENSP00000363079	CRP	MBL2	9606	0.743	0.0	0	0	0.34	0.0	0.0	0.626
9606.ENSP00000255030	9606.ENSP00000255040	CRP	APCS	9606	0.757	0.0	0	0	0.545	0.462	0.0	0.835
9606.ENSP00000255030	9606.ENSP00000356037	CRP	C4BPA	9606	0.773	0.0	0	0	0.109	0.417	0.0	0.597
9606.ENSP00000255030	9606.ENSP00000348170	CRP	HP	9606	0.865	0.0	0	0	0.09	0.0	0.0	0.858
9606.ENSP00000255030	9606.ENSP00000256785	CRP	CFHR5	9606	0.893	0.0	0	0	0.207	0.297	0.0	0.824
9606.ENSP00000255030	9606.ENSP00000346839	CRP	FN1	9606	0.961	0.0	0	0	0.0	0.27	0.0	0.949
9606.ENSP00000255030	9606.ENSP00000360871	CRP	FCN1	9606	0.986	0.0	0	0	0.0	0.297	0.0	0.981
9606.ENSP00000255030	9606.ENSP00000271450	CRP	FCGR2A	9606	0.993	0.0	0	0	0.0	0.462	0.0	0.989
9606.ENSP00000255040	9606.ENSP00000360871	APCS	FCN1	9606	0.431	0.0	0	0	0.062	0.0	0.0	0.419
9606.ENSP00000255040	9606.ENSP00000270879	APCS	FCN3	9606	0.564	0.0	0	0	0.076	0.0	0.0	0.548
9606.ENSP00000255040	9606.ENSP00000263408	APCS	C9	9606	0.566	0.0	0	0	0.234	0.0	0.0	0.457
9606.ENSP00000255040	9606.ENSP00000421725	APCS	GC	9606	0.573	0.0	0	0	0.328	0.0	0.0	0.39
9606.ENSP00000255040	9606.ENSP00000256785	APCS	CFHR5	9606	0.58	0.0	0	0	0.346	0.0	0.0	0.384
9606.ENSP00000255040	9606.ENSP00000348170	APCS	HP	9606	0.598	0.0	0	0	0.099	0.0	0.0	0.572
9606.ENSP00000255040	9606.ENSP00000484261	APCS	H2AFB1	9606	0.6	0.0	0	0	0.0	0.0	0.6	0.0
9606.ENSP00000255040	9606.ENSP00000366618	APCS	HIST1H2BL	9606	0.6	0.0	0	0	0.0	0.0	0.6	0.0
9606.ENSP00000255040	9606.ENSP00000482674	APCS	HIST1H2BB	9606	0.6	0.0	0	0	0.0	0.0	0.6	0.0
9606.ENSP00000255040	9606.ENSP00000349430	APCS	HIST1H2BK	9606	0.6	0.0	0	0	0.0	0.0	0.6	0.0
9606.ENSP00000255040	9606.ENSP00000296417	APCS	H2AFZ	9606	0.6	0.0	0	0	0.0	0.0	0.6	0.0
9606.ENSP00000255040	9606.ENSP00000341094	APCS	HIST1H2AD	9606	0.6	0.0	0	0	0.0	0.0	0.6	0.0
9606.ENSP00000255040	9606.ENSP00000481622	APCS	H2BFS	9606	0.6	0.0	0	0	0.0	0.0	0.6	0.0
9606.ENSP00000255040	9606.ENSP00000477527	APCS	HIST1H2BO	9606	0.6	0.0	0	0	0.0	0.0	0.6	0.0
9606.ENSP00000255040	9606.ENSP00000434024	APCS	H2AFX	9606	0.6	0.0	0	0	0.0	0.0	0.6	0.0
9606.ENSP00000255040	9606.ENSP00000289316	APCS	HIST1H2BD	9606	0.6	0.0	0	0	0.0	0.0	0.6	0.0
9606.ENSP00000255040	9606.ENSP00000479169	APCS	HIST1H2BH	9606	0.6	0.0	0	0	0.0	0.0	0.6	0.0
9606.ENSP00000255040	9606.ENSP00000477907	APCS	HIST1H2BM	9606	0.6	0.0	0	0	0.0	0.0	0.6	0.0
9606.ENSP00000255040	9606.ENSP00000328484	APCS	HIST1H2AJ	9606	0.6	0.0	0	0	0.0	0.0	0.6	0.0
9606.ENSP00000255040	9606.ENSP00000483903	APCS	HIST1H2BN	9606	0.6	0.0	0	0	0.0	0.0	0.6	0.0
9606.ENSP00000255040	9606.ENSP00000476136	APCS	HIST1H2BJ	9606	0.6	0.0	0	0	0.0	0.0	0.6	0.0
9606.ENSP00000255040	9606.ENSP00000346839	APCS	FN1	9606	0.602	0.0	0	0	0.0	0.27	0.0	0.477
9606.ENSP00000255040	9606.ENSP00000367022	APCS	HIST1H2AC	9606	0.609	0.0	0	0	0.0	0.0	0.6	0.063
9606.ENSP00000255040	9606.ENSP00000358151	APCS	HIST2H2BE	9606	0.61	0.0	0	0	0.0	0.0	0.6	0.067
9606.ENSP00000255040	9606.ENSP00000274764	APCS	HIST1H2BA	9606	0.613	0.0	0	0	0.0	0.0	0.6	0.072
9606.ENSP00000255040	9606.ENSP00000415941	APCS	C4B	9606	0.616	0.0	0	0	0.084	0.0	0.0	0.598
9606.ENSP00000255040	9606.ENSP00000384906	APCS	SAA1	9606	0.628	0.0	0	0	0.107	0.0	0.0	0.601
9606.ENSP00000255040	9606.ENSP00000357113	APCS	IFI16	9606	0.643	0.0	0	0	0.0	0.0	0.0	0.643
9606.ENSP00000255040	9606.ENSP00000346659	APCS	OCA2	9606	0.645	0.0	0	0	0.0	0.0	0.0	0.645
9606.ENSP00000255040	9606.ENSP00000363827	APCS	HSPG2	9606	0.659	0.0	0	0	0.0	0.0	0.6	0.183
9606.ENSP00000255040	9606.ENSP00000332194	APCS	HIST2H2AC	9606	0.661	0.0	0	0	0.0	0.0	0.6	0.187
9606.ENSP00000255040	9606.ENSP00000369862	APCS	COL4A3BP	9606	0.666	0.0	0	0	0.0	0.417	0.0	0.451
9606.ENSP00000255040	9606.ENSP00000363079	APCS	MBL2	9606	0.668	0.0	0	0	0.297	0.0	0.0	0.547
9606.ENSP00000255040	9606.ENSP00000356037	APCS	C4BPA	9606	0.673	0.0	0	0	0.121	0.487	0.0	0.333
9606.ENSP00000255040	9606.ENSP00000347714	APCS	FCAR	9606	0.694	0.0	0	0	0.0	0.0	0.0	0.694
9606.ENSP00000255040	9606.ENSP00000438248	APCS	CALU	9606	0.76	0.0	0	0	0.0	0.27	0.0	0.685
9606.ENSP00000255040	9606.ENSP00000271450	APCS	FCGR2A	9606	0.907	0.0	0	0	0.049	0.8	0.0	0.552
9606.ENSP00000256785	9606.ENSP00000263408	CFHR5	C9	9606	0.446	0.0	0	0	0.3	0.0	0.0	0.242
9606.ENSP00000256785	9606.ENSP00000415941	CFHR5	C4B	9606	0.469	0.0	0	0	0.0	0.0	0.0	0.469
9606.ENSP00000256785	9606.ENSP00000363079	CFHR5	MBL2	9606	0.618	0.0	0	0	0.335	0.0	0.0	0.449
9606.ENSP00000262319	9606.ENSP00000317257	TELO2	CPNE1	9606	0.628	0.0	0	0	0.0	0.0	0.0	0.628
9606.ENSP00000262319	9606.ENSP00000349325	TELO2	ATP10A	9606	0.643	0.0	0	0	0.0	0.0	0.0	0.643
9606.ENSP00000262319	9606.ENSP00000397172	TELO2	BLCAP	9606	0.643	0.0	0	0	0.053	0.0	0.0	0.639
9606.ENSP00000262319	9606.ENSP00000380877	TELO2	ASCC2	9606	0.666	0.0	0	0	0.059	0.0	0.0	0.66
9606.ENSP00000262319	9606.ENSP00000293922	TELO2	PTX4	9606	0.721	0.0	0	0	0.054	0.0	0.0	0.717
9606.ENSP00000262319	9606.ENSP00000380559	TELO2	CRAMP1L	9606	0.741	0.0	0	0	0.062	0.0	0.0	0.736
9606.ENSP00000263408	9606.ENSP00000356037	C9	C4BPA	9606	0.501	0.0	0	0	0.135	0.0	0.0	0.446
9606.ENSP00000263408	9606.ENSP00000363079	C9	MBL2	9606	0.521	0.0	0	0	0.214	0.0	0.0	0.415
9606.ENSP00000263408	9606.ENSP00000415941	C9	C4B	9606	0.553	0.0	0	0	0.122	0.078	0.0	0.492
9606.ENSP00000263408	9606.ENSP00000348170	C9	HP	9606	0.557	0.0	0	0	0.133	0.077	0.0	0.491
9606.ENSP00000270879	9606.ENSP00000356037	FCN3	C4BPA	9606	0.424	0.0	0	0	0.076	0.0	0.0	0.402
9606.ENSP00000270879	9606.ENSP00000346839	FCN3	FN1	9606	0.439	0.0	0	0	0.0	0.121	0.0	0.388
9606.ENSP00000270879	9606.ENSP00000360871	FCN3	FCN1	9606	0.531	0.0	0	0	0.0	0.0	0.5	0.887
9606.ENSP00000270879	9606.ENSP00000363079	FCN3	MBL2	9606	0.94	0.0	0	0	0.0	0.158	0.5	0.87
9606.ENSP00000270879	9606.ENSP00000415941	FCN3	C4B	9606	0.961	0.0	0	0	0.087	0.0	0.9	0.61
9606.ENSP00000271450	9606.ENSP00000346839	FCGR2A	FN1	9606	0.404	0.0	0	0	0.062	0.0	0.0	0.391
9606.ENSP00000271450	9606.ENSP00000363079	FCGR2A	MBL2	9606	0.404	0.0	0	0	0.0	0.0	0.0	0.404
9606.ENSP00000271450	9606.ENSP00000347714	FCGR2A	FCAR	9606	0.694	0.0	0	0	0.082	0.0	0.0	0.681
9606.ENSP00000274764	9606.ENSP00000358151	HIST1H2BA	HIST2H2BE	9606	0.422	0.0	0	0	0.062	0.18	0.3	0.612
9606.ENSP00000274764	9606.ENSP00000328484	HIST1H2BA	HIST1H2AJ	9606	0.862	0.0	0	0	0.162	0.214	0.8	0.082
9606.ENSP00000274764	9606.ENSP00000366618	HIST1H2BA	HIST1H2BL	9606	0.896	0.0	0	0	0.062	0.854	0.3	0.061
9606.ENSP00000274764	9606.ENSP00000434024	HIST1H2BA	H2AFX	9606	0.897	0.0	0	0	0.162	0.214	0.8	0.314
9606.ENSP00000274764	9606.ENSP00000484261	HIST1H2BA	H2AFB1	9606	0.946	0.0	0	0	0.162	0.214	0.8	0.644
9606.ENSP00000274764	9606.ENSP00000296417	HIST1H2BA	H2AFZ	9606	0.956	0.0	0	0	0.151	0.501	0.8	0.542
9606.ENSP00000274764	9606.ENSP00000367022	HIST1H2BA	HIST1H2AC	9606	0.96	0.0	0	0	0.162	0.569	0.8	0.515
9606.ENSP00000274764	9606.ENSP00000332194	HIST1H2BA	HIST2H2AC	9606	0.966	0.0	0	0	0.162	0.578	0.8	0.585
9606.ENSP00000274764	9606.ENSP00000341094	HIST1H2BA	HIST1H2AD	9606	0.979	0.0	0	0	0.162	0.836	0.8	0.354
9606.ENSP00000289316	9606.ENSP00000358151	HIST1H2BD	HIST2H2BE	9606	0.497	0.0	0	0	0.15	0.217	0.3	0.539
9606.ENSP00000289316	9606.ENSP00000366618	HIST1H2BD	HIST1H2BL	9606	0.564	0.0	0	0	0.213	0.269	0.3	0.342
9606.ENSP00000289316	9606.ENSP00000481622	HIST1H2BD	H2BFS	9606	0.569	0.0	0	0	0.17	0.312	0.3	0.6
